timestamp,cpu_utilization,assigned_memory
27:35.0,0.004013062,0.005210876
55:54.1,0,0.006500244
00:00.0,0.006500244,0.002449036
00:00.0,0.000102043,0.002277374
00:00.0,7.63E-05,0.003242493
00:56.0,0,0.000231743
37:01.8,0.007980347,0.006507874
57:12.3,0.004943848,0.007263184
00:00.0,0.002910614,0.005096436
06:44.0,0.000220299,0.003612518
00:00.0,0.00553894,0.00390625
20:16.0,0.001049042,0.010421753
39:07.6,0.016082764,0
35:56.4,0.000218391,0.011016846
20:16.0,0.001049042,0.010421753
43:41.1,0.000200272,0.00668335
51:23.9,0.001550674,0.003269196
31:51.0,0.008865356,0.003734589
09:34.2,0.005966187,0.002731323
08:28.8,0,0.002624512
00:00.0,0.015808105,0.002948761
06:17.0,0.009109497,0
43:23.4,0.000200272,0.00668335
56:11.2,0.000182152,0.001470566
55:03.6,0.01020813,0
30:50.1,0.000406265,0.00390625
35:27.8,0.000685692,0.000403404
59:07.9,0.008544922,0.00245285
06:50.0,0,0
29:39.3,0.005210876,0.04888916
00:00.0,0.000160217,0
00:00.0,0.00239563,0.024200439
56:23.7,0.000667572,0.004364014
05:27.2,0.000270844,0.000271797
21:16.1,0.004013062,0.005210876
27:31.0,0.004013062,0.005210876
18:13.3,0.013534546,0.011169434
15:04.0,0.005439758,0.1875
00:00.0,0.000348091,0
57:51.2,0,0.012374878
03:35.1,0.0008564,0.005210876
43:07.1,5.25E-05,0.003612518
25:27.9,0,0.0078125
00:00.0,0.000166893,0
22:44.1,0.003005981,0.030303955
50:55.0,0.000518799,0.005012512
00:00.0,0.000254631,0
03:28.1,0.012252808,0
02:35.7,0.003295898,0.069458008
30:41.2,0.011413574,0.001834869
25:21.2,0.000270844,0.000271797
08:37.4,0.001560211,0.00390625
23:54.5,0.000205994,0.003250122
17:25.0,0.000220299,0.000195503
23:48.5,0.012969971,0
20:48.1,0.045593262,0
29:36.0,0.031982422,0
20:16.0,0.001049042,0.010421753
39:46.7,0.0184021,0.002605438
00:00.0,0.069580078,0
38:28.3,0.006469727,0.00147438
00:00.0,0.002574921,0
28:27.8,0.000108719,0.000889778
28:58.5,0.000227928,0.051635742
26:23.7,0.000270844,0.000271797
35:00.4,0.007919312,0.00213623
00:00.0,0.000184059,0
00:00.0,0.004333496,0
34:05.9,0.000611305,0
06:22.1,0.005172729,0
42:10.6,0.020080566,0
15:09.6,0.001317978,0.001718521
19:40.9,0.001317978,0.001718521
54:00.5,0.007980347,0.006507874
07:55.9,0,0.007614136
57:48.9,0.000378609,0
18:59.6,0.007980347,0.006507874
13:05.2,0.000220299,0.000195503
05:44.2,0.039855957,0.045593262
34:18.6,0.000378609,0.002624512
